board center,2.6578947368421053,2.9444444444444446,2.3421052631578947,2.1666666666666665,2.8157894736842106,2.611111111111111,2.6052631578947367,2.5,2.8333333333333335,2.5,2.5,2.9444444444444446,2.375,2.1666666666666665,3.6666666666666665,3.0,4.5,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
own pieces,0.0,0.0,1.736842105263158,1.5555555555555556,2.0789473684210527,2.388888888888889,2.2280701754385963,2.7450980392156863,3.25,2.9722222222222223,2.5749999999999997,3.1111111111111116,3.104166666666667,2.9444444444444446,3.714285714285714,2.7857142857142856,3.5,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
opponent's pieces,0.0,3.7777777777777777,3.3684210526315788,3.6666666666666665,3.5789473684210527,3.2037037037037037,3.473684210526315,3.6029411764705883,3.638888888888889,3.1555555555555554,3.025,3.5185185185185186,3.145833333333333,3.571428571428571,3.9761904761904763,3.8125,3.25,4.222222222222222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
own center of mass,0.0,0.0,1.736842105263158,1.5555555555555556,1.868421052631579,2.2777777777777777,2.017543859649123,2.549019607843137,2.9722222222222223,2.25,1.8250000000000002,2.533333333333333,2.604166666666667,2.0555555555555554,3.3333333333333335,2.0714285714285716,3.25,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
opponent's center of mass,0.0,3.7777777777777777,3.3684210526315788,3.1666666666666665,2.9473684210526314,2.6111111111111107,2.9122807017543857,3.1029411764705883,3.25,2.355555555555556,2.0749999999999997,2.925925925925926,2.3125,2.4285714285714284,3.1666666666666665,2.6875,3.25,4.222222222222222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
own neighbors,0.0,0.0,0.5789473684210527,0.6666666666666666,0.631578947368421,0.6111111111111112,0.8421052631578947,0.5882352941176471,1.1111111111111112,0.7777777777777778,1.25,0.5555555555555556,1.25,2.6666666666666665,0.8333333333333334,0.5,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
opponent's neighbors,0.0,0.3333333333333333,0.15789473684210525,0.2777777777777778,0.3684210526315789,0.6666666666666666,0.2631578947368421,0.47058823529411764,0.3333333333333333,0.8888888888888888,0.625,0.7777777777777778,0.875,0.6666666666666666,0.5,0.5,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
threats made,0.0,0.0,0.0,0.0,0.7368421052631579,0.5,0.3157894736842105,0.47058823529411764,0.3333333333333333,0.5555555555555556,0.625,0.2222222222222222,0.5,1.0,0.5,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
threats defended,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.23529411764705882,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.25,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
