17179869408	134744064	White	8	1.356	3	194
134217728	4194304	Black	268435456	1.118	3	194
1107300380	2160107520	White	128	0.559	3	194
8598331392	3147776	Black	8	0.756	3	194
34359754752	2097152	White	1073741824	0.814	3	194
34393309192	1075843072	White	1048576	2.735	3	194
2147483648	16	Black	8388608	1.555	3	194
2155905024	139280	Black	128	1.141	3	194
4194336	2147483648	White	4294967296	0.818	3	194
134217729	2	White	512	4.407	3	194
134218753	514	White	4	1.405	3	194
536870916	2048	White	4096	1.403	3	194
4831846404	7168	White	512	0.78	3	194
26843545776	4307570688	White	64	2.015	3	194
10551808	2151686144	White	16	0.784	3	194
34360139776	2149582848	White	2	0.801	3	194
3221225472	135266304	Black	268435456	1.823	3	194
4294970368	2147491840	White	4194304	0.891	3	194
4294970370	2151686144	White	16	0.684	3	194
8589934720	2147483648	White	4194304	2.137	3	194
2105376	25198592	Black	536870912	1.079	3	194
4718592	8388608	White	16384	0.812	3	194
4722688	8404992	White	32	1.245	3	194
4301787136	8405028	White	8	0.716	3	194
