subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
139:R_1F5MGuZ2rKZOLnc,2,10000,1,7.2779e-05,0.050189,3.9751,9.915,9.9126,9.7829,3.6833,-0.33793,7.2779e-05,0.0760767826858778,0.0,-194
139:R_1F5MGuZ2rKZOLnc,3,10000,1,7.6389e-05,0.050284,2.5565,4.4736,1.0505,6.5726,-5.7785,2.8364,7.6389e-05,0.1191538942729905,0.0,-194
139:R_1F5MGuZ2rKZOLnc,4,10000,1,1.3667e-06,0.050145,1.9697,9.9917,8.9103,9.9852,-5.7073,-10.0,1.3667e-06,0.026176645658085786,0.0,-194
139:R_1F5MGuZ2rKZOLnc,5,10000,1,1.7872e-05,0.050029,3.4445,7.4919,-7.7706,9.9448,-9.7629,4.3422,1.7872e-05,0.14476318763512983,0.0,-194
149:R_shhEOP9BPIFkz97,1,10000,1,0.33667,0.076823,0.36816,1.0205,1.0205,0.5957,6.7383,7.9883,0.33667,0.6131917943785611,0.0,66
149:R_shhEOP9BPIFkz97,2,10000,1,0.46825,0.05,0.61276,0.96345,1.2705,1.4478,4.929,8.9003,0.46825,0.6075121811388694,0.0,66
149:R_shhEOP9BPIFkz97,3,10000,1,0.30499,0.050111,0.56838,0.85838,1.0963,1.3929,5.7447,10.0,0.30499,0.6455714762218924,0.0,66
149:R_shhEOP9BPIFkz97,4,10000,1,0.33517,0.060944,0.36969,1.2338,1.9958,2.5737,9.4377,7.1944,0.33517,0.6512279059515812,0.0,66
149:R_shhEOP9BPIFkz97,5,10000,1,0.42296,0.10793,0.39373,1.1242,1.3955,1.6751,6.4397,9.995,0.42296,0.6175220408735227,0.0,66
150:R_3ilNhJufw9u0JJr,1,10000,1,0.56851,0.055102,0.32663,0.86287,3.1036,2.1431,9.5297,-9.4114,0.56851,0.6327840937305373,0.0,-53
150:R_3ilNhJufw9u0JJr,2,10000,1,0.3634,0.11741,0.47473,0.84106,1.2012,-1.6345,5.3113,8.7598,0.3634,0.4423820038112854,0.0,-53
150:R_3ilNhJufw9u0JJr,3,10000,1,0.56456,0.10176,0.58064,1.0248,1.3611,-1.3227,7.7525,-0.396,0.56456,0.5155420592322896,0.0,-53
150:R_3ilNhJufw9u0JJr,4,10000,1,0.55348,0.092588,0.50552,0.9242,2.019,1.2436,6.9109,6.4008,0.55348,0.6376243869597443,0.0,-53
150:R_3ilNhJufw9u0JJr,5,10000,1,0.42529,0.072624,0.62524,0.71289,1.2061,-1.1182,5.2393,10.0,0.42529,0.49312895560821307,0.0,-53
152:R_XEQd4AtPvWuAWnT,1,10000,1,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.44995,0.48542674298094296,0.0,7
152:R_XEQd4AtPvWuAWnT,2,10000,1,0.50682,0.073048,0.60806,1.0847,2.4945,-0.95863,7.6371,9.0297,0.50682,0.5198863439607867,0.0,7
152:R_XEQd4AtPvWuAWnT,3,10000,1,0.74497,0.11127,1.1372,1.357,2.0012,-1.6461,5.6419,9.9994,0.74497,0.3977913272107262,0.0,7
152:R_XEQd4AtPvWuAWnT,4,10000,1,0.64955,0.052241,0.66463,1.0591,2.0809,0.21229,6.2178,9.5428,0.64955,0.5604657828565651,0.0,7
152:R_XEQd4AtPvWuAWnT,5,10000,1,0.65308,0.05,0.85229,1.1084,1.7969,-1.0498,5.1172,9.6436,0.65308,0.45195177394371805,0.0,7
156:R_2TTetTXWqRwQOGb,1,10000,1,0.41364,0.05346,1.0413,0.49274,0.84893,-0.69698,3.598,9.9679,0.41364,0.45997454312300484,0.0,-96
156:R_2TTetTXWqRwQOGb,2,10000,1,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.44995,0.48542674298094296,0.0,-96
156:R_2TTetTXWqRwQOGb,3,10000,1,0.4878,0.16318,1.1543,0.38076,1.4434,-0.43795,5.0632,9.9998,0.4878,0.4759607983104059,0.0,-96
156:R_2TTetTXWqRwQOGb,4,10000,1,0.54157,0.052104,1.417,0.37945,1.6724,-1.6109,7.1418,9.9896,0.54157,0.4012082946706392,0.0,-96
156:R_2TTetTXWqRwQOGb,5,10000,1,0.4695,0.15359,1.1274,0.45383,1.2898,-1.2851,4.7056,8.6895,0.4695,0.41963866459239885,0.0,-96
166:R_9Nac2hjg6u7BlS1,1,10000,1,6.0479e-06,0.051126,3.1323,4.2272,-9.837,8.4215,-4.6302,-9.9314,6.0479e-06,0.12278451668379028,0.0,-116
166:R_9Nac2hjg6u7BlS1,2,10000,1,1.4417e-06,0.050668,2.6067,5.68,-7.7973,7.5988,-8.2396,-8.1397,1.4417e-06,0.15725526231028494,0.0,-116
166:R_9Nac2hjg6u7BlS1,3,10000,1,0.00016119,0.05,2.0819,8.4383,-7.1485,2.1184,-9.9123,10.0,0.00016119,0.18004281605433375,0.0,-116
166:R_9Nac2hjg6u7BlS1,4,10000,1,0.00016775,0.050003,2.7324,4.1695,-8.2653,9.9982,-7.0001,-0.66567,0.00016775,0.1443947313499129,0.0,-116
166:R_9Nac2hjg6u7BlS1,5,10000,1,0.00023075,0.053298,3.6445,7.7862,-7.8233,1.2099,-9.9933,-9.6576,0.00023075,0.1522783956668982,0.0,-116
