subject,main,no tree
101,59.49823252245713,48.244057989796694
102,59.09155923584338,48.01239206609405
107,57.00706222613727,46.75473422535426
117,57.275556165531206,46.35318069000073
121,59.187781526630715,48.094843540632304
129,58.7209896095267,47.41025773017455
137,61.432064961345375,50.57431140963574
139,64.50349812637077,52.743808741096615
149,58.823468081252564,47.94196454903567
150,59.82503196834672,48.79549399166579
152,58.1846369328682,47.4129930166142
156,58.55562860954227,47.45769444726684
166,60.861590703852684,50.0646903907975
171,58.8710680704769,47.89724065725488
175,57.88766210701108,47.106496532455715
179,60.411538936559396,49.34580513298735
180,57.377680877324934,46.62790993746204
181,56.61720886098394,45.97038617508157
182,56.175212053611155,45.37000360122225
183,56.332328195080876,45.31874168174777
187,56.532341610309224,45.7793633406034
192,59.43457575027791,48.20906767841163
194,55.805502918651186,45.419631323684996
196,61.58084076240884,50.84131945924214
197,63.19623719518745,52.00664846960025
199,58.79480681648854,47.77024932415857
200,59.77991090008658,49.23665138673593
201,59.449601192574555,48.633288255646946
202,57.62524712478901,46.87352197167587
208,58.04204337875044,47.63108262178208
209,61.54961182329737,50.11628453556098
212,55.346667739235144,44.87410150567383
215,61.65707021446364,50.72497562362571
216,56.34419184371812,45.906249136350155
217,59.767357643282025,48.730638048782
221,58.04829579345807,47.3523025171194
226,58.61565506675325,47.63491722006926
227,62.23832603491021,51.002254941640544
228,58.34695839405542,47.67610169241328
229,56.99408455101118,45.91186242341764
230,57.99170784913034,46.99856251248813
231,56.41655049392995,45.54592721542045
236,65.51024525552012,53.47866069222098
242,57.948456484713354,47.23004703108865
245,57.544107081058264,47.22397394070868
248,57.039921528467495,46.120584153467064
249,58.05346546352362,47.11803764354617
250,60.154730810045564,49.89705460942641
256,59.58211939193769,48.28649672109732
262,59.44765343931393,48.53125432591923
269,58.791391827159984,48.27702400718253
273,58.88866892189984,47.87789125566333
281,58.26653101181844,47.42411203412435
290,60.39803659516916,49.58860710746063
291,61.11391667036172,49.919063637292716
293,57.88811637261453,47.32390491627344
294,57.341169665480365,46.83997593238429
305,60.52982051595216,50.045718683824
309,58.51052551734309,47.531414934422415
311,56.98450066548037,46.25297493238429
329,58.168910865236725,47.497959434547454
342,59.91728252710084,48.83755469088219
353,60.85319292331708,49.71236456087589
372,61.67667978942286,50.510106393815875
388,61.20214785707389,49.77867102493303
423,59.8455961304562,49.07386793884772
436,59.613689610971086,48.91148577573339
442,58.40554626367062,48.32025558913555
449,59.52846997361008,48.19157781796852
459,58.397040258209586,47.436105657895105
511,57.652299946566835,47.42125420382881
535,57.81321733547472,47.0766507914567
560,57.973567041955455,47.331750853295304
804,58.49714787559731,47.506668759193445
805,59.386592418462335,48.42618381428794
806,60.60207057838534,49.88164920402101
810,58.919430460590526,47.70365858123838
811,57.638618517799145,46.4882247224962
814,58.45388031869117,47.179750570742414
832,58.74756418428125,47.55000187374079
833,57.76006176086122,47.352621231349076
834,57.53812967760568,46.87336463760693
842,59.59842579074055,48.40580596077777
844,61.75174171113105,50.510551233673525
846,59.38747564427777,48.39150404483399
849,59.80767150257871,49.206667411267986
856,56.4014611324279,45.59019801485321
858,57.62097118162856,46.45181521453362
859,61.88404515411189,50.64212183757523
866,66.62070228289775,54.08029002659832
868,58.73660728170544,47.86874491627344
869,59.3257429217738,48.01512690884761
870,56.11517131704636,45.301094831414865
872,59.23150673671475,48.372672112060876
874,59.90803950982399,49.07809732214491
