subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
137:R_2X1ycnpBX7zJOwI,5,1.9371,0.10794,0.36771,0.10091,0.30178,-0.019481,0.89717,-1.7701,5.2779,9.8999,0.36771,0.4080635569347714,1.00967,-39
139:R_1F5MGuZ2rKZOLnc,1,0.2606,0.90524,7.685e-05,0.050074,1.1301,-9.9023,-9.8636,7.4181,-4.8896,-9.7777,7.685e-05,0.20747908591016012,0.0900219,-315
139:R_1F5MGuZ2rKZOLnc,2,1.986,0.99995,0.32219,0.050058,0.2606,0.32355,1.3572,1.3214,5.1906,9.949,0.32219,0.6470330220875514,3.6483e-05,-315
139:R_1F5MGuZ2rKZOLnc,3,0.11301,0.0084515,3.6569e-05,0.05,1.7571,-9.8734,-9.6663,8.7028,-8.0447,-9.944,3.6569e-05,0.22075962789743964,16.068,-315
139:R_1F5MGuZ2rKZOLnc,4,0.33091,0.62021,0.0,0.05,1.9576,-10.0,-9.7113,8.1165,-4.0436,9.2471,0.0,0.1827234255040151,0.479861,-315
139:R_1F5MGuZ2rKZOLnc,5,0.20508,0.6452,0.0001213,0.055139,3.7769,-8.0639,-2.7118,8.6202,2.9044,-0.20627,0.0001213,0.045269149529003724,0.484367,-315
149:R_shhEOP9BPIFkz97,1,8.9738,0.001377,0.34452,0.05,0.79057,0.97628,0.82211,1.2137,3.0735,9.996,0.34452,0.5174635372150164,5.70111,13
149:R_shhEOP9BPIFkz97,2,2.1482,0.042185,0.31218,0.051603,1.0205,1.2595,0.95472,1.5062,5.1346,9.341,0.31218,0.5193361604942809,2.30928,13
149:R_shhEOP9BPIFkz97,3,23.855,0.006962,0.19727,0.053606,0.89987,1.1612,0.98079,1.1975,4.713,9.1395,0.19727,0.542063737912775,2.74449,13
149:R_shhEOP9BPIFkz97,4,0.87031,0.0010003,0.20247,0.069461,0.85717,1.2544,0.59626,1.1655,3.7632,9.9996,0.20247,0.49651671001721936,8.47858,13
149:R_shhEOP9BPIFkz97,5,2.221,0.0015021,0.4049,0.064785,0.52866,1.1627,1.745,2.5719,7.5583,10.0,0.4049,0.639687267590791,9.49126,13
150:R_3ilNhJufw9u0JJr,1,7.4839,0.0010709,0.39045,0.051609,0.2572,0.99846,2.1197,0.40929,5.6903,9.7182,0.39045,0.5236048205429007,8.39396,-79
150:R_3ilNhJufw9u0JJr,2,2.8497,0.0038494,0.35695,0.050206,0.72507,1.1676,0.76996,-0.10771,4.6694,9.2426,0.35695,0.5102493230234139,4.69155,-79
150:R_3ilNhJufw9u0JJr,3,10.732,0.0059899,0.51864,0.062128,0.76327,1.3078,1.4741,0.059172,4.7538,9.9998,0.51864,0.5036300875046623,3.14907,-79
