subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
137:R_2X1ycnpBX7zJOwI,5,0.11342,0.0049303,0.0,0.058655,3.0679,7.4561,6.7334,-5.7324,-1.9629,-3.6719,0.0,0.09119216963544037,1.00967,-29
139:R_1F5MGuZ2rKZOLnc,1,1.1553,0.059233,0.22191,0.063134,0.29644,0.61266,0.67543,0.61773,3.0684,8.8379,0.22191,0.5687323675745752,0.0900219,-123
139:R_1F5MGuZ2rKZOLnc,2,1.9989,0.019989,0.19995,0.15811,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,3.6483e-05,-123
139:R_1F5MGuZ2rKZOLnc,3,4.0681,0.0015461,0.54389,0.19702,1.0102,0.87488,-0.15174,-0.28925,3.1322,9.6432,0.54389,0.40977432587393386,16.068,-123
139:R_1F5MGuZ2rKZOLnc,4,6.1823,0.011002,0.44874,0.15948,0.83299,-0.036349,1.7431,0.034096,5.3725,5.0184,0.44874,0.5558179783569002,0.479861,-123
139:R_1F5MGuZ2rKZOLnc,5,1.2032,0.042068,0.0015183,0.050139,4.0,8.8736,9.9924,3.2927,3.2083,-3.7321,0.0015183,0.11252754854448416,0.484367,-123
149:R_shhEOP9BPIFkz97,1,5.6478,0.0021583,0.38351,0.094156,0.98151,1.078,0.5056,0.24437,3.9034,10.0,0.38351,0.49701851858209495,5.70111,60
149:R_shhEOP9BPIFkz97,2,5.4562,0.010039,0.2269,0.05,0.78582,0.92049,0.43259,0.38835,3.8262,8.615,0.2269,0.5350106692035326,2.30928,60
149:R_shhEOP9BPIFkz97,3,3.7833,0.01095,0.4387,0.050373,0.95248,1.0555,0.85829,0.67613,4.6185,9.996,0.4387,0.5373053856572956,2.74449,60
149:R_shhEOP9BPIFkz97,4,12.784,0.010017,0.30485,0.050711,0.73241,1.0866,0.92003,0.055782,5.4628,9.6017,0.30485,0.549404418334234,8.47858,60
149:R_shhEOP9BPIFkz97,5,4.4906,0.011662,0.11795,0.086705,1.0097,1.2765,0.52701,0.46814,4.1221,9.976,0.11795,0.48539166966574054,9.49126,60
150:R_3ilNhJufw9u0JJr,1,38.808,0.9994,0.48599,0.15869,0.33383,1.1478,4.4625,-4.8415,8.0448,1.058,0.48599,0.32758228714721194,8.39396,-75
150:R_3ilNhJufw9u0JJr,2,0.6357,0.030515,0.22319,0.057516,0.38133,0.73462,0.972,-0.20047,3.1894,9.7963,0.22319,0.49267245926342323,4.69155,-75
