,subject,fold,1,2,3,4,5,6,7,8,9,10
48,Sub156_vs_Level110,4,0.74093,0.0043579,0.39289,0.067414,1.3415,0.38797,1.5815,-1.9529,6.3904,9.9778
49,Sub156_vs_Level110,5,0.31508,0.37189,0.26879,0.16521,1.6396,-0.0099121,0.80161,-1.2357,3.2194,7.2106
50,Sub156_vs_Level118,1,1.7761,0.53033,0.15728,0.050736,1.408,0.37186,0.95642,-0.33945,3.7489,10
51,Sub156_vs_Level118,2,0.40098,0.76999,0.27789,0.05,1.2769,0.31985,0.98079,-1.0417,3.9111,9.9991
52,Sub156_vs_Level118,3,0.31463,0.039547,0.44526,0.19949,1.8054,0.17085,1.0574,-0.40488,3.6892,8.6927
53,Sub156_vs_Level118,4,0.46627,0.40949,0.26775,0.096657,1.4572,0.39323,1.1688,-0.62739,5.0392,9.8484
54,Sub156_vs_Level118,5,0.2328,0.97463,0.52897,0.089089,1.4923,0.26018,1.327,-2.2547,3.5457,8.9216
55,Sub156_vs_Level92,1,2.9503,0.52727,0.33316,0.11733,1.7859,0.50526,1.0037,0.053607,5.1335,9.5364
56,Sub156_vs_Level92,2,2.0588,0.036872,0.22295,0.082073,1.9463,0.4232,1.1593,0.0059513,3.8368,9.6633
57,Sub156_vs_Level92,3,0.22457,0.14596,0.30799,0.06066,1.1465,0.58286,0.92537,-0.081725,7.8421,10
58,Sub156_vs_Level92,4,3.8884,0.78865,0.34007,0.0532,1.2045,0.42644,1.3121,0.011597,8.7461,9.7589
59,Sub156_vs_Level92,5,2.3728,0.3751,0.40538,0.054819,1.6309,0.75799,1.3688,-0.32035,6.27,9.847
60,Sub166_vs_Level110,1,2.2405,0.024828,0.22345,0.097771,1.1466,-0.15684,1.3559,0.42398,3.6197,7.6609
61,Sub166_vs_Level110,2,3.1638,0.0047902,0.28332,0.051881,0.98088,0.077859,1.1119,-0.7939,3.238,6.2409
62,Sub166_vs_Level110,3,5.962,0.0030643,0.38623,0.05361,1.1431,0.43457,1.5283,0.67871,4.2432,4.9561
63,Sub166_vs_Level110,4,1.8446,0.020264,0.29454,0.050059,0.83059,0.081272,1.2824,-0.042676,3.5482,10
64,Sub166_vs_Level110,5,2.5326,0.021457,0.19344,0.065396,1.2132,0.21241,1.0685,-0.32749,3.5887,6.9555
65,Sub166_vs_Level118,1,1.5596,0.04652,0.24105,0.077893,0.98869,0.40501,1.3089,-0.24818,3.0616,9.6824
66,Sub166_vs_Level118,2,2.0342,0.046656,0.20126,0.070453,1.3208,0.57589,1.0881,0.18811,2.7808,7.0043
67,Sub166_vs_Level118,3,1.501,0.026482,0.222,0.11977,0.95179,0.39515,1.6607,-0.015093,3.987,7.8875
68,Sub166_vs_Level118,4,2.5538,0.0031853,0.25097,0.050004,1.206,0.62873,1.706,0.22724,4.7306,4.6554
69,Sub166_vs_Level118,5,1.3971,0.018011,0.22025,0.05,1.0179,0.50419,1.1643,0.22845,3.8649,9.0174
70,Sub166_vs_Level92,1,1.5463,0.03436,0.36218,0.078344,0.93568,0.33794,1.7119,-0.73825,4.9721,9.9991
71,Sub166_vs_Level92,2,1.9989,0.019989,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,5
72,Sub166_vs_Level92,3,2.2543,0.045183,0.39323,0.053957,1.2581,0.49419,1.3503,-0.45194,3.713,8.2144
73,Sub166_vs_Level92,4,1.674,0.034926,0.23009,0.054157,0.71241,0.41461,1.482,-0.15809,4.238,9.3308
74,Sub166_vs_Level92,5,2.7789,0.02278,0.21421,0.0515,0.96557,0.41528,1.6396,-1.1194,4.1021,7.914
75,Sub171_vs_Level110,1,2.2494,0.0051261,0.021001,0.05069,0.48505,0.57252,1.4758,-0.30261,3.615,9.9224
76,Sub171_vs_Level110,2,2.7464,0.019586,0.094437,0.056511,0.60794,0.9075,1.2061,-1.0951,3.9851,9.3678
77,Sub171_vs_Level110,3,3.7753,0.008567,0.24633,0.053264,1.1801,0.88112,1.1655,-0.53452,3.5653,9.5936
78,Sub171_vs_Level110,4,6.2367,0.012968,0.12139,0.050962,0.49211,1.0938,2.2807,-1.78,5.2088,9.9642
79,Sub171_vs_Level110,5,3.2275,0.0079104,0.10874,0.073523,0.76378,0.83194,1.148,-0.7801,3.6298,7.6144
80,Sub171_vs_Level118,1,1.7537,0.029777,0.15408,0.054325,0.53222,0.84635,2.1062,0.24957,4.9174,9.8041
81,Sub171_vs_Level118,2,0.87658,0.0072796,0.014074,0.059997,0.44871,0.64818,1.3926,0.12376,2.9289,9.6778
82,Sub171_vs_Level118,3,0.99049,0.037317,0.088301,0.050104,0.44429,0.79524,1.9643,0.028263,4.4239,9.9993
83,Sub171_vs_Level118,4,0.94967,0.0067142,0.0018181,0.050105,0.49041,0.48862,1.6611,0.086935,3.7743,8.2998
84,Sub171_vs_Level118,5,2.1417,0.0075718,0.11579,0.079787,0.44994,0.70668,2.8073,-0.55408,6.9674,9.7353
85,Sub171_vs_Level92,1,2.2317,0.031199,0.17822,0.051599,0.91528,0.95703,1.6748,-0.66895,4.751,8.584
86,Sub171_vs_Level92,2,1.8621,0.0068561,0.17229,0.050985,0.59521,0.71313,2.0889,-0.27083,4.3319,9.8517
87,Sub171_vs_Level92,3,2.0802,0.0067739,0.13845,0.07201,0.64413,0.58957,1.6627,-0.35305,3.8318,9.882
88,Sub171_vs_Level92,4,2.5739,0.0029997,0.28518,0.052453,0.89219,0.49764,1.441,0.075461,3.3328,9.6948
89,Sub171_vs_Level92,5,1.2472,0.017029,0.2175,0.050302,0.5992,0.59408,2.0097,-0.30703,5.0423,8.7804
